Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,age_group,amount_per_month,plane,penalty,score
42,1,2,1,3,3,409,12,radio/TV,3,34.083333333333336,1,75.04419746647812,799
31,2,1,3,1,2,1928,18,furniture/equipment,2,107.11111111111111,1,75.0,800
54,2,2,2,1,-1,1597,24,education,3,66.54166666666667,2,270.1093015632145,557
34,2,2,3,1,1,6999,48,radio/TV,2,145.8125,1,90.0,780
43,2,2,3,2,1,1203,6,car,3,200.5,1,77.2391514660742,797
26,2,2,3,-1,-1,2069,10,furniture/equipment,2,206.9,4,787.5093167701897,481
23,1,2,1,1,1,2406,30,furniture/equipment,1,80.2,1,135.06069097021447,689
57,1,1,2,1,-1,2748,12,education,4,229.0,2,2575.013678430807,401
27,2,0,3,3,3,709,6,car,2,118.16666666666667,1,15.0,880
28,1,3,3,1,-1,3349,36,furniture/equipment,2,93.02777777777777,2,240.0,568
32,2,3,2,1,-1,4686,36,car,2,130.16666666666666,2,240.0,568
55,2,2,2,3,-1,1555,12,repairs,4,129.58333333333334,2,2437.3624835878263,402
35,2,2,3,4,2,1410,14,business,2,100.71428571428571,1,30.0,860
31,2,2,3,1,1,4817,24,car,2,200.70833333333334,1,90.0,780
27,2,2,3,1,2,1391,9,business,2,154.55555555555554,1,75.0,800
32,2,2,3,1,-1,701,12,education,2,58.416666666666664,2,240.0,568
29,2,2,1,1,1,11816,45,business,2,262.5777777777778,1,1002.0439958592141,465
27,1,2,3,1,1,3123,24,car,2,130.125,1,105.0,710
28,2,1,1,1,2,6260,18,car,2,347.77777777777777,1,2265.0439958592137,403
42,2,2,2,1,1,5493,36,car,3,152.58333333333334,1,105.14649469102025,709
58,1,1,3,1,1,1755,24,vacation/others,4,73.125,1,2065.2068867022313,404
33,2,2,3,1,-1,1851,24,radio/TV,2,77.125,2,240.0,568
53,2,2,3,4,-1,2835,24,furniture/equipment,3,118.125,2,150.1751256981116,679
49,2,1,3,1,-1,2096,12,education,3,174.66666666666666,2,240.51516713570916,568
21,2,1,1,1,1,1987,24,radio/TV,1,82.79166666666667,1,120.06199103069036,699
26,2,2,1,1,-1,3518,6,car,2,586.3333333333334,2,11776.754658385096,334
33,2,2,3,2,-1,1474,24,car,2,61.416666666666664,2,210.0,580
38,2,3,3,1,-1,7814,24,car,2,325.5833333333333,2,3864.254658385094,391
34,2,2,2,-1,-1,6527,60,car,2,108.78333333333333,4,660.0,490
40,1,2,3,-1,-1,894,10,education,3,89.4,4,660.2622904255833,490
36,2,2,3,1,-1,4165,18,business,2,231.38888888888889,2,1068.4213250517612,460
35,2,2,2,1,-1,1471,15,radio/TV,2,98.06666666666666,2,270.0,557
40,2,3,3,-1,1,1977,36,education,3,54.916666666666664,3,315.15114887505575,540
23,1,2,1,1,-1,7127,36,furniture/equipment,1,197.97222222222223,2,332.5661242158877,515
23,1,2,3,1,-1,2288,21,furniture/equipment,1,108.95238095238095,2,270.15818596519534,557
49,2,2,3,-1,-1,2331,12,radio/TV,3,194.25,4,603.1410257964802,495
34,2,3,3,1,-1,6614,36,car,2,183.72222222222223,2,210.0,580
25,1,3,3,1,1,8065,36,education,2,224.02777777777777,1,393.7939958592139,510
35,2,1,3,3,2,1941,18,business,2,107.83333333333333,1,45.0,840
40,1,2,3,4,-1,7678,36,furniture/equipment,3,213.27777777777777,2,751.7500977283544,484
31,1,2,1,-1,-1,2901,10,car,2,290.1,4,5959.509316770191,376
20,1,2,3,1,2,1967,24,radio/TV,1,81.95833333333333,1,90.06156697121654,719
23,2,1,3,1,2,1246,24,car,1,51.916666666666664,1,75.04938765097407,799
45,2,2,2,-1,-1,1300,15,car,3,86.66666666666667,4,660.256168729162,490
47,2,3,3,1,2,1209,6,car,3,201.5,1,63.15140413792704,815
29,1,2,3,1,1,3499,12,car,2,291.5833333333333,1,1422.127329192547,434
36,2,2,1,1,1,2799,9,car,2,311.0,1,1728.3773291925472,407
28,2,2,3,1,-1,3595,36,radio/TV,2,99.86111111111111,2,240.0,568
35,1,2,3,-1,1,1381,24,car,2,57.541666666666664,3,405.0,509
30,1,3,3,1,2,4795,36,radio/TV,2,133.19444444444446,1,75.0,800
34,2,1,3,2,-1,1569,15,radio/TV,2,104.6,2,210.0,580
39,2,2,2,-1,3,1271,15,radio/TV,2,84.73333333333333,3,315.0,540
22,2,1,1,1,2,276,9,car,1,30.666666666666668,1,105.04332514798207,709
49,2,1,3,-1,1,1262,12,furniture/equipment,3,105.16666666666667,3,360.22816993461095,513
26,2,2,3,1,1,4370,42,radio/TV,2,104.04761904761905,1,90.0,780
26,2,2,3,-1,-1,5248,21,car,2,249.9047619047619,4,3367.795031055903,395
60,2,2,3,1,1,2246,12,furniture/equipment,4,187.16666666666666,1,342.7223455481488,514
23,2,2,1,1,3,1297,12,radio/TV,1,108.08333333333333,1,90.07837471828012,719
25,2,2,3,-1,-1,3105,24,radio/TV,2,129.375,4,600.0,495
28,2,2,3,4,3,939,12,car,2,78.25,1,15.0,880
37,1,2,1,4,-1,1402,12,furniture/equipment,2,116.83333333333333,2,240.0,568
37,2,2,2,-1,-1,2279,12,radio/TV,2,189.91666666666666,4,660.0,490
35,2,2,3,2,-1,2141,12,radio/TV,2,178.41666666666666,2,210.0,580
39,2,1,3,-1,-1,9436,54,car,2,174.74074074074073,4,600.0,495
33,2,2,1,1,1,950,15,car,2,63.333333333333336,1,120.0,700
59,1,2,1,1,2,6416,48,business,4,133.66666666666666,1,1172.478317031487,452
28,2,3,3,1,2,4249,30,car,2,141.63333333333333,1,60.0,820
36,2,2,3,1,1,1721,15,car,2,114.73333333333333,1,90.0,780
25,2,0,3,1,1,2473,18,furniture/equipment,2,137.38888888888889,1,75.0,800
24,2,2,3,2,2,6560,48,car,1,136.66666666666666,1,60.11175364793921,819
43,2,2,3,-1,2,2899,18,car,3,161.05555555555554,3,315.5266220245446,516
23,1,3,3,1,3,1961,18,car,1,108.94444444444444,1,60.079086363547205,819
26,2,2,3,1,1,3414,21,education,2,162.57142857142858,1,90.0,780
42,2,3,2,1,1,7763,48,car,3,161.72916666666666,1,90.1783522119289,719
27,2,1,3,2,-1,4139,24,business,2,172.45833333333334,2,210.0,580
26,1,2,3,1,-1,2404,18,radio/TV,2,133.55555555555554,2,270.0,557
26,1,3,1,1,-1,4530,30,radio/TV,2,151.0,2,300.0,545
32,2,2,2,3,2,1136,9,education,2,126.22222222222223,1,60.0,820
31,2,2,3,2,2,6148,20,car,2,307.4,1,1614.377329192547,408
41,1,3,1,1,-1,3868,24,car,3,161.16666666666666,2,300.3519966273602,545
37,1,2,3,3,-1,1287,24,car,2,53.625,2,210.0,580
31,1,2,3,1,-1,9566,36,radio/TV,2,265.72222222222223,2,2128.4213250517614,404
36,2,2,3,-1,-1,6304,36,business,2,175.11111111111111,4,600.0,495
35,2,2,2,1,1,3386,12,car,2,282.1666666666667,1,1280.8773291925477,444
26,1,2,3,1,-1,2764,33,business,2,83.75757575757575,2,270.0,557
27,2,2,3,1,-1,3850,18,car,2,213.88888888888889,2,543.4213250517612,499
54,2,2,3,1,1,1409,12,car,3,117.41666666666667,1,90.08684468302867,719
48,2,3,3,-1,2,12204,48,business,3,254.25,3,4813.209695281763,384
23,1,2,1,2,2,1553,24,radio/TV,1,64.70833333333333,1,105.0539303314352,709
32,2,2,1,2,2,11760,39,education,2,301.53846153846155,1,1556.4542522694705,424
